source_ENSEMBL target_ENSEMBL interaction
ENSG00000105221 ENSG00000101109 -1
ENSG00000105221 ENSG00000132906 -1
ENSG00000105221 CHUK_IKBKB_IKBKG 1
ENSG00000105221 ENSG00000165887 1
ENSG00000105221 ENSG00000124762 1
ENSG00000105221 ENSG00000109819 -1
ENSG00000105221 ENSG00000091831 1
ENSG00000105221 ENSG00000118260 1
ENSG00000105221 ENSG00000135679 1
ENSG00000105221 ENSG00000213341 1
ENSG00000105221 ENSG00000154447 -1
ENSG00000105221 AKT1S1_DEPTOR_MLST8_MTOR_RPTOR 1
ENSG00000105221 ENSG00000100393 1
ENSG00000105221 ENSG00000197442 -1
ENSG00000105221 ENSG00000107643 -1
ENSG00000105221 ENSG00000104375 -1
ENSG00000105221 ENSG00000157764 -1
ENSG00000105221 ENSG00000002330 -1
ENSG00000105221 CREBBP_EP300_KAT2B 1
ENSG00000105221 TSC1_TSC2 -1
ENSG00000105221 ENSG00000105723 -1
ENSG00000105221 ENSG00000168036 1
ENSG00000105221 ENSG00000103197 -1
ENSG00000105221 ENSG00000169564 -1
ENSG00000105221 ENSG00000197535 1
ENSG00000105221 ENSG00000115317 -1
ENSG00000105221 ENSG00000088247 -1
ENSG00000105221 ENSG00000111276 -1
ENSG00000105221 ENSG00000166263 -1
ENSG00000105221 ENSG00000168283 1
